-47.9375 24 -12.238778114318848
-52.25 25 -13.846273422241211
-3.25 35 -25.95808219909668
-5.9375 33.5 -26.219549179077148
-20.0625 28 -11.064404487609863
-19.8125 32 -14.364264488220215
-20.125 37.5 -19.408235549926758
-44.75 2.5 5.0173168182373047
-47.3125 -2 8.0920944213867187
-48.0625 -4 10.213415145874023
-8.4375 91 -48.897205352783203
-10.375 95 -48.897205352783203
-11.8125 95 -48.508979797363281
-12.625 97.5 -48.074855804443359
-101.6875 36.5 -48.233413696289063
-107 28 -47.880928039550781
-107 23.5 -47.881729125976563
-112.75 9.5 -47.881729125976563
-20.1875 -23 5.3537101745605469
-20 -21.5 4.4774789810180664
-18.125 -23.5 6.3999991416931152
-81.9375 -15.5 23.800195693969727
-75.25 -19.5 16.037530899047852
-76.25 -24.5 14.141712188720703
-88.125 -33.5 7.9344406127929687
3.8125 80.5 55.850208282470703
5.875 80 55.850208282470703
7.25 79.5 56.110683441162109
-80 103.5 76.35687255859375
-81.5625 105.5 77.211921691894531
-85.125 103 81.454559326171875
-85.1875 103 81.489921569824219
10.625 21.5 -49.798568725585938
4.75 24 -45.044651031494141
2.75 20 -43.015159606933594
2.8125 20 -42.866531372070313
4.5 16.5 -38.407661437988281
-4.75 12.5 -31.529962539672852
-4.4375 13 -28.275691986083984
-1.25 17 -26.675899505615234
-1.25 17 -29.741508483886719
-79.5625 31.5 -19.922262191772461
-80.1875 30.5 -22.173929214477539
-82.5625 33.5 -20.669040679931641
-82.5625 36 -22.085102081298828
-83.625 39 -24.045803070068359
-14.375 36 -19.192405700683594
-15 29.5 -19.553524017333984
-17.1875 27.5 -18.789638519287109
-17.3125 27.5 -18.772207260131836
-22.9375 21.5 -18.074960708618164
-33.9375 7.5 -4.011909008026123
-29.4375 10.5 0.35904690623283386
-28.75 12.5 -0.23623691499233246
-30 10 -1.4406989812850952
-16.25 22 -2.8817105293273926
-19.0625 17 -1.9869054555892944
-24.375 17 -2.4497025012969971
-25.25 10.5 -1.54646897315979
-21.875 -22 -3.6983406543731689
-22.0625 -17 0.029906094074249268
-23.75 -15.5 -1.1459193229675293
-25.5625 -12.5 -0.0038561087567359209
-25.375 -11 -1.8432470560073853
-69.9375 27 -0.53882801532745361
-69.9375 27 -0.54056447744369507
-72.8125 35 -1.9992091655731201
-72.8125 38.5 2.2140352725982666
-69.0625 45 5.7006359100341797
-22.5 -17.5 -0.17690607905387878
-24.3125 -19.5 2.5523025989532471
-21.0625 -21 3.9394712448120117
8.75 134.5 24.674583435058594
5.8125 137 23.997354507446289
5.8125 137 22.197357177734375
6.6875 134.5 19.581062316894531
5.9375 132.5 18.032405853271484
-49.75 1.5 20.51124382019043
-49.3125 5.5 21.599887847900391
-47.5625 8 22.287746429443359
-47.875 8.5 23.644052505493164
-53.375 5 18.39277458190918
-70.75 -13.5 33.228973388671875
-65.25 -1.5 29.605506896972656
-65.1875 -1 29.553741455078125
-70.4375 2.5 27.953897476196289
-74.5625 6 26.24290657043457
14.4375 129 41.204166412353516
13.0625 127.5 40.223690032958984
14.875 125 42.942684173583984
12.4375 127.5 42.759506225585938
9.8125 126 44.561233520507813
-54.0625 93.5 42.472862243652344
-56.9375 92.5 43.675022125244141
-59.8125 91.5 44.877185821533203
-64.625 89.5 46.880790710449219
-64.75 89.5 46.9368896484375
-74.125 11 59.25
-75.125 12.5 59.389366149902344
-79.25 19.5 59.946140289306641
-79.125 26.5 62.977752685546875
-74.375 27 65.777900695800781
-77.5625 23.5 69.968231201171875
-85.8125 11.5 74.029800415039063
-86.1875 7 74.250007629394531
-96.75 -1.5 76.486427307128906
-123.1875 4.5 -24.274761199951172
-123.5625 2 -24.691516876220703
-128.125 -0.5 -28.095510482788086
-126.8125 -2.5 -29.444910049438477
-124.375 -1 -30.712764739990234
-128.8125 0.5 -39.498092651367187
-127.375 -8 -41.244552612304688
-66.625 34 -5.0648312568664551
-68.25 28 0.077469497919082642
-69.375 24 -2.8348703384399414
-73.875 23 -5.484870433807373
-72.375 21.5 -5.9016256332397461
-73.6875 19 -10.491560935974121
-23.0625 40 -0.76897209882736206
-23.1875 41 -0.78642451763153076
-23.75 45 -0.85623413324356079
-24.3125 49 -0.9260438084602356
-24.4375 50 -0.94349616765975952
-24.625 51 -1.1171443462371826
-24.75 52 -1.2907925844192505
-27 90 1.8577369451522827
-26.125 87.5 2.7469892501831055
-26.125 86.5 2.9553670883178711
-25.1875 83.5 2.5253221988677979
-25.5 85 -0.19360107183456421
-25.5625 85 -0.64675498008728027
-144.6875 -41 5.7999911308288574
-148.625 -46.5 8.4565591812133789
-161.5 -54 13.264158248901367
-166.4375 -54.5 13.523299217224121
-168.1875 -52.5 15.800025939941406
-167.5625 -49 18.033046722412109
3 48 10.580047607421875
2.9375 48 10.612628936767578
1.0625 46.5 13.620603561401367
-1 46.5 14.147221565246582
-5.8125 44.5 11.989249229431152
-7.75 52 9.889622688293457
1.5 73 11.231423377990723
0.125 70 18.86729621887207
-2.875 69.5 18.859466552734375
-5.125 71.5 20.49397087097168
-4 74 20.779218673706055
-48.625 -9.5 29.550544738769531
-49.0625 -12 30.169771194458008
-45.6875 -14.5 28.314834594726562
-47.5625 -16 29.583608627319336
-51.8125 -21 29.651275634765625
-51.1875 -24.5 29.689792633056641
-58.5 103.5 30.519323348999023
-59.0625 105.5 32.186126708984375
-58.9375 107.5 35.006511688232422
-60.9375 107 37.117988586425781
-62.6875 107.5 36.713829040527344
-63.6875 106.5 34.671504974365234
-5.375 138 38.750881195068359
-5.375 138 44.900871276855469
